ITR,FILE_NAME,FSCORE,PRECISION,RECALL,ACCURACY,SK_THRESHOLD,ALPHA,ORIG_CONTRIB,SEG_THRESHOLD
178,19_test.tif,0.404,0.255,0.97,0.762,60,7,0.7,18
179,19_test.tif,0.8,0.719,0.903,0.963,60,8,0.7,16
180,19_test.tif,0.83,0.788,0.876,0.97,60,8,0.7,14
181,19_test.tif,0.507,0.345,0.96,0.845,60,7,0.7,16
182,19_test.tif,0.809,0.74,0.892,0.965,60,8,0.3,22
183,19_test.tif,0.611,0.449,0.955,0.899,60,7,0.3,24
184,19_test.tif,0.34,0.206,0.977,0.685,60,7,0.7,20
185,19_test.tif,0.762,0.65,0.922,0.952,60,7,0.3,18
186,19_test.tif,0.819,0.763,0.884,0.968,60,7,0.3,14
187,19_test.tif,0.833,0.922,0.759,0.975,60,8,0.3,10
188,19_test.tif,0.794,0.708,0.903,0.961,60,8,0.3,24
189,19_test.tif,0.77,0.662,0.919,0.954,60,7,0.7,12
190,19_test.tif,0.701,0.561,0.936,0.934,60,8,0.7,20
191,19_test.tif,0.721,0.588,0.933,0.94,60,7,0.3,20
192,19_test.tif,0.833,0.803,0.864,0.971,60,8,0.3,18
193,02_test.tif,0.736,0.94,0.605,0.956,60,8,0.3,14
194,02_test.tif,0.795,0.866,0.735,0.961,60,7,0.3,16
195,02_test.tif,0.711,0.946,0.57,0.953,60,8,0.7,18
196,02_test.tif,0.755,0.914,0.642,0.957,60,8,0.7,22
197,02_test.tif,0.626,0.967,0.463,0.943,60,8,0.7,12
198,02_test.tif,0.739,0.938,0.61,0.956,60,7,0.3,10
199,02_test.tif,0.77,0.892,0.677,0.958,60,8,0.7,24
200,02_test.tif,0.782,0.898,0.693,0.961,60,8,0.3,20
201,02_test.tif,0.768,0.917,0.661,0.959,60,7,0.3,12
202,02_test.tif,0.757,0.927,0.64,0.958,60,8,0.3,16
203,02_test.tif,0.797,0.785,0.809,0.958,60,7,0.3,22
204,02_test.tif,0.741,0.928,0.617,0.956,60,7,0.7,14
205,02_test.tif,0.707,0.952,0.563,0.952,60,8,0.3,12
206,02_test.tif,0.656,0.963,0.497,0.947,60,7,0.7,10
207,02_test.tif,0.608,0.968,0.443,0.941,60,8,0.7,10
208,02_test.tif,0.721,0.624,0.854,0.932,60,7,0.7,24
209,02_test.tif,0.761,0.707,0.824,0.947,60,7,0.7,22
210,02_test.tif,0.787,0.847,0.734,0.959,60,7,0.7,18
211,02_test.tif,0.684,0.955,0.533,0.95,60,8,0.7,16
212,02_test.tif,0.654,0.963,0.495,0.946,60,8,0.7,14
213,02_test.tif,0.771,0.892,0.678,0.959,60,7,0.7,16
214,02_test.tif,0.791,0.884,0.716,0.961,60,8,0.3,22
215,02_test.tif,0.789,0.754,0.827,0.955,60,7,0.3,24
216,02_test.tif,0.782,0.78,0.785,0.955,60,7,0.7,20
217,02_test.tif,0.8,0.84,0.764,0.961,60,7,0.3,18
218,02_test.tif,0.785,0.894,0.7,0.961,60,7,0.3,14
219,02_test.tif,0.675,0.96,0.52,0.949,60,8,0.3,10
220,02_test.tif,0.795,0.866,0.735,0.961,60,8,0.3,24
221,02_test.tif,0.702,0.95,0.557,0.952,60,7,0.7,12
222,02_test.tif,0.735,0.932,0.606,0.955,60,8,0.7,20
223,02_test.tif,0.8,0.812,0.788,0.96,60,7,0.3,20
224,02_test.tif,0.773,0.913,0.67,0.96,60,8,0.3,18
225,20_test.tif,0.77,0.862,0.696,0.969,60,8,0.3,14
226,20_test.tif,0.785,0.746,0.828,0.967,60,7,0.3,16
227,20_test.tif,0.792,0.788,0.796,0.969,60,8,0.7,18
228,20_test.tif,0.767,0.688,0.867,0.961,60,8,0.7,22
229,20_test.tif,0.727,0.913,0.604,0.967,60,8,0.7,12
230,20_test.tif,0.77,0.863,0.695,0.969,60,7,0.3,10
231,20_test.tif,0.734,0.625,0.889,0.953,60,8,0.7,24
232,20_test.tif,0.789,0.792,0.787,0.969,60,8,0.3,20
233,20_test.tif,0.787,0.825,0.753,0.97,60,7,0.3,12
234,20_test.tif,0.783,0.837,0.735,0.97,60,8,0.3,16
235,20_test.tif,0.73,0.614,0.901,0.951,60,7,0.3,22
236,20_test.tif,0.781,0.724,0.848,0.965,60,7,0.7,14
237,20_test.tif,0.753,0.884,0.656,0.968,60,8,0.3,12
238,20_test.tif,0.766,0.875,0.682,0.969,60,7,0.7,10
239,20_test.tif,0.67,0.937,0.521,0.962,60,8,0.7,10
240,20_test.tif,0.343,0.209,0.965,0.729,60,7,0.7,24
241,20_test.tif,0.417,0.267,0.957,0.803,60,7,0.7,22
242,20_test.tif,0.652,0.504,0.921,0.928,60,7,0.7,18
243,20_test.tif,0.787,0.833,0.746,0.97,60,8,0.7,16
244,20_test.tif,0.767,0.874,0.683,0.969,60,8,0.7,14
245,20_test.tif,0.73,0.619,0.891,0.952,60,7,0.7,16
246,20_test.tif,0.788,0.769,0.808,0.968,60,8,0.3,22
247,20_test.tif,0.694,0.559,0.915,0.941,60,7,0.3,24
248,20_test.tif,0.522,0.361,0.944,0.873,60,7,0.7,20
249,20_test.tif,0.775,0.705,0.859,0.963,60,7,0.3,18
250,20_test.tif,0.791,0.788,0.794,0.969,60,7,0.3,14
251,20_test.tif,0.725,0.907,0.603,0.966,60,8,0.3,10
252,20_test.tif,0.784,0.744,0.828,0.966,60,8,0.3,24
253,20_test.tif,0.791,0.806,0.775,0.97,60,7,0.7,12
254,20_test.tif,0.786,0.739,0.84,0.966,60,8,0.7,20
255,20_test.tif,0.755,0.66,0.882,0.958,60,7,0.3,20
256,20_test.tif,0.789,0.815,0.764,0.97,60,8,0.3,18
257,04_test.tif,0.714,0.904,0.59,0.957,60,8,0.3,14
258,04_test.tif,0.767,0.828,0.715,0.96,60,7,0.3,16
259,04_test.tif,0.737,0.839,0.658,0.957,60,8,0.7,18
260,04_test.tif,0.735,0.748,0.722,0.952,60,8,0.7,22
261,04_test.tif,0.674,0.926,0.53,0.953,60,8,0.7,12
262,04_test.tif,0.715,0.904,0.591,0.957,60,7,0.3,10
263,04_test.tif,0.721,0.696,0.748,0.947,60,8,0.7,24
264,04_test.tif,0.754,0.859,0.671,0.96,60,8,0.3,20
265,04_test.tif,0.738,0.879,0.636,0.958,60,7,0.3,12
266,04_test.tif,0.731,0.89,0.62,0.958,60,8,0.3,16
267,04_test.tif,0.751,0.714,0.791,0.952,60,7,0.3,22
268,04_test.tif,0.734,0.769,0.703,0.953,60,7,0.7,14
269,04_test.tif,0.696,0.92,0.559,0.955,60,8,0.3,12
270,04_test.tif,0.704,0.898,0.579,0.955,60,7,0.7,10
271,04_test.tif,0.637,0.946,0.48,0.95,60,8,0.7,10
272,04_test.tif,0.392,0.252,0.882,0.749,60,7,0.7,24
273,04_test.tif,0.459,0.313,0.859,0.813,60,7,0.7,22
274,04_test.tif,0.64,0.536,0.795,0.918,60,7,0.7,18
275,04_test.tif,0.724,0.868,0.622,0.956,60,8,0.7,16
276,04_test.tif,0.703,0.898,0.578,0.955,60,8,0.7,14
277,04_test.tif,0.712,0.677,0.751,0.944,60,7,0.7,16
278,04_test.tif,0.762,0.844,0.694,0.96,60,8,0.3,22
279,04_test.tif,0.731,0.662,0.816,0.945,60,7,0.3,24
280,04_test.tif,0.543,0.404,0.83,0.872,60,7,0.7,20
281,04_test.tif,0.77,0.797,0.744,0.959,60,7,0.3,18
282,04_test.tif,0.757,0.856,0.678,0.96,60,7,0.3,14
283,04_test.tif,0.669,0.936,0.521,0.953,60,8,0.3,10
284,04_test.tif,0.766,0.827,0.714,0.96,60,8,0.3,24
285,04_test.tif,0.734,0.85,0.645,0.957,60,7,0.7,12
286,04_test.tif,0.736,0.786,0.692,0.954,60,8,0.7,20
287,04_test.tif,0.765,0.762,0.768,0.957,60,7,0.3,20
288,04_test.tif,0.742,0.872,0.645,0.959,60,8,0.3,18
289,06_test.tif,0.735,0.891,0.625,0.956,60,8,0.3,14
290,06_test.tif,0.756,0.751,0.761,0.952,60,7,0.3,16
291,06_test.tif,0.746,0.841,0.67,0.956,60,8,0.7,18
292,06_test.tif,0.724,0.688,0.763,0.943,60,8,0.7,22
293,06_test.tif,0.647,0.952,0.49,0.948,60,8,0.7,12
294,06_test.tif,0.734,0.891,0.624,0.956,60,7,0.3,10
295,06_test.tif,0.676,0.587,0.797,0.926,60,8,0.7,24
296,06_test.tif,0.761,0.811,0.717,0.956,60,8,0.3,20
297,06_test.tif,0.754,0.85,0.677,0.957,60,7,0.3,12
298,06_test.tif,0.748,0.867,0.658,0.957,60,8,0.3,16
299,06_test.tif,0.647,0.52,0.857,0.909,60,7,0.3,22
300,06_test.tif,0.747,0.763,0.732,0.952,60,7,0.7,14
301,06_test.tif,0.713,0.914,0.584,0.954,60,8,0.3,12
302,06_test.tif,0.692,0.925,0.553,0.952,60,7,0.7,10
303,06_test.tif,0.605,0.966,0.44,0.944,60,8,0.7,10
304,06_test.tif,0.352,0.217,0.942,0.663,60,7,0.7,24
305,06_test.tif,0.396,0.252,0.925,0.726,60,7,0.7,22
306,06_test.tif,0.568,0.426,0.852,0.874,60,7,0.7,18
307,06_test.tif,0.725,0.889,0.612,0.955,60,8,0.7,16
308,06_test.tif,0.691,0.925,0.552,0.952,60,8,0.7,14
309,06_test.tif,0.674,0.583,0.798,0.925,60,7,0.7,16
310,06_test.tif,0.761,0.782,0.741,0.955,60,8,0.3,22
311,06_test.tif,0.589,0.442,0.881,0.88,60,7,0.3,24
312,06_test.tif,0.466,0.315,0.897,0.8,60,7,0.7,20
313,06_test.tif,0.738,0.687,0.797,0.945,60,7,0.3,18
314,06_test.tif,0.762,0.804,0.724,0.956,60,7,0.3,14
315,06_test.tif,0.685,0.938,0.54,0.952,60,8,0.3,10
316,06_test.tif,0.755,0.748,0.762,0.952,60,8,0.3,24
317,06_test.tif,0.74,0.865,0.647,0.956,60,7,0.7,12
318,06_test.tif,0.75,0.783,0.719,0.953,60,8,0.7,20
319,06_test.tif,0.704,0.612,0.828,0.932,60,7,0.3,20
320,06_test.tif,0.757,0.838,0.69,0.957,60,8,0.3,18
321,11_test.tif,0.693,0.906,0.561,0.955,60,8,0.3,14
322,11_test.tif,0.738,0.8,0.685,0.956,60,7,0.3,16
323,11_test.tif,0.694,0.903,0.564,0.956,60,8,0.7,18
324,11_test.tif,0.722,0.842,0.632,0.956,60,8,0.7,22
325,11_test.tif,0.621,0.947,0.462,0.95,60,8,0.7,12
326,11_test.tif,0.694,0.903,0.563,0.955,60,7,0.3,10
327,11_test.tif,0.73,0.805,0.669,0.956,60,8,0.7,24
328,11_test.tif,0.728,0.838,0.644,0.957,60,8,0.3,20
329,11_test.tif,0.718,0.867,0.612,0.957,60,7,0.3,12
330,11_test.tif,0.708,0.882,0.591,0.956,60,8,0.3,16
331,11_test.tif,0.726,0.685,0.772,0.948,60,7,0.3,22
332,11_test.tif,0.715,0.863,0.611,0.956,60,7,0.7,14
333,11_test.tif,0.671,0.925,0.527,0.954,60,8,0.3,12
334,11_test.tif,0.649,0.936,0.497,0.952,60,7,0.7,10
335,11_test.tif,0.587,0.952,0.424,0.947,60,8,0.7,10
336,11_test.tif,0.537,0.394,0.843,0.87,60,7,0.7,24
337,11_test.tif,0.628,0.514,0.805,0.914,60,7,0.7,22
338,11_test.tif,0.726,0.728,0.723,0.951,60,7,0.7,18
339,11_test.tif,0.673,0.922,0.53,0.954,60,8,0.7,16
340,11_test.tif,0.649,0.936,0.497,0.952,60,8,0.7,14
341,11_test.tif,0.732,0.803,0.672,0.956,60,7,0.7,16
342,11_test.tif,0.734,0.819,0.664,0.957,60,8,0.3,22
343,11_test.tif,0.709,0.64,0.796,0.942,60,7,0.3,24
344,11_test.tif,0.688,0.624,0.766,0.938,60,7,0.7,20
345,11_test.tif,0.739,0.766,0.713,0.955,60,7,0.3,18
346,11_test.tif,0.73,0.831,0.65,0.957,60,7,0.3,14
347,11_test.tif,0.641,0.939,0.487,0.951,60,8,0.3,10
348,11_test.tif,0.738,0.799,0.685,0.956,60,8,0.3,24
349,11_test.tif,0.688,0.91,0.553,0.955,60,7,0.7,12
350,11_test.tif,0.712,0.873,0.601,0.956,60,8,0.7,20
351,11_test.tif,0.735,0.728,0.741,0.952,60,7,0.3,20
352,11_test.tif,0.721,0.861,0.621,0.957,60,8,0.3,18
353,10_test.tif,0.755,0.868,0.667,0.964,60,8,0.3,14
354,10_test.tif,0.767,0.764,0.77,0.962,60,7,0.3,16
355,10_test.tif,0.762,0.746,0.78,0.96,60,8,0.7,18
356,10_test.tif,0.717,0.627,0.838,0.946,60,8,0.7,22
357,10_test.tif,0.753,0.882,0.657,0.965,60,8,0.7,12
358,10_test.tif,0.754,0.869,0.666,0.964,60,7,0.3,10
359,10_test.tif,0.671,0.548,0.865,0.93,60,8,0.7,24
360,10_test.tif,0.77,0.81,0.734,0.964,60,8,0.3,20
361,10_test.tif,0.766,0.837,0.707,0.965,60,7,0.3,12
362,10_test.tif,0.763,0.848,0.693,0.965,60,8,0.3,16
363,10_test.tif,0.722,0.632,0.843,0.947,60,7,0.3,22
364,10_test.tif,0.732,0.658,0.825,0.95,60,7,0.7,14
365,10_test.tif,0.741,0.887,0.636,0.963,60,8,0.3,12
366,10_test.tif,0.769,0.842,0.708,0.965,60,7,0.7,10
367,10_test.tif,0.723,0.919,0.596,0.962,60,8,0.7,10
368,10_test.tif,0.318,0.191,0.956,0.662,60,7,0.7,24
369,10_test.tif,0.358,0.221,0.945,0.721,60,7,0.7,22
370,10_test.tif,0.514,0.358,0.908,0.858,60,7,0.7,18
371,10_test.tif,0.772,0.797,0.747,0.964,60,8,0.7,16
372,10_test.tif,0.769,0.843,0.707,0.965,60,8,0.7,14
373,10_test.tif,0.649,0.516,0.874,0.922,60,7,0.7,16
374,10_test.tif,0.769,0.787,0.752,0.963,60,8,0.3,22
375,10_test.tif,0.687,0.57,0.864,0.935,60,7,0.3,24
376,10_test.tif,0.416,0.268,0.93,0.785,60,7,0.7,20
377,10_test.tif,0.757,0.72,0.797,0.958,60,7,0.3,18
378,10_test.tif,0.77,0.803,0.74,0.964,60,7,0.3,14
379,10_test.tif,0.723,0.91,0.6,0.962,60,8,0.3,10
380,10_test.tif,0.767,0.764,0.77,0.961,60,8,0.3,24
381,10_test.tif,0.765,0.759,0.771,0.961,60,7,0.7,12
382,10_test.tif,0.747,0.691,0.813,0.955,60,8,0.7,20
383,10_test.tif,0.743,0.676,0.824,0.953,60,7,0.3,20
384,10_test.tif,0.767,0.829,0.714,0.964,60,8,0.3,18
385,07_test.tif,0.705,0.915,0.573,0.956,60,8,0.3,14
386,07_test.tif,0.753,0.81,0.704,0.958,60,7,0.3,16
387,07_test.tif,0.723,0.856,0.626,0.956,60,8,0.7,18
388,07_test.tif,0.731,0.762,0.702,0.953,60,8,0.7,22
389,07_test.tif,0.635,0.945,0.478,0.95,60,8,0.7,12
390,07_test.tif,0.705,0.915,0.574,0.956,60,7,0.3,10
391,07_test.tif,0.715,0.695,0.736,0.946,60,8,0.7,24
392,07_test.tif,0.743,0.851,0.659,0.958,60,8,0.3,20
393,07_test.tif,0.73,0.881,0.623,0.958,60,7,0.3,12
